id,solar_panels,wind_turbines,batteries,cost,reliability,environmental_impact
0,0,8,0,76800.0,0.768732989144389,0.016822447775202868
1,21,7,2,81860.0,0.8299094999540658,0.01876533615882882
2,31,7,1,83140.0,0.8651766266246042,0.01845272476217767
3,25,8,0,87300.0,0.8590724432019159,0.017598529345568752
4,128,4,0,92160.0,0.9930436733915969,0.02104966464738252
5,78,6,3,99120.0,0.9829381772565027,0.02090546826947945
6,36,8,5,106520.0,0.9046080599830103,0.020394432494132725
7,98,5,6,106680.0,0.9945062906327435,0.0233916387290951
8,163,4,1,109780.0,1.0,0.022022088079488404
9,62,8,3,111600.0,0.9747376835076204,0.019878804098448426
10,54,9,1,112000.0,0.9644590962437907,0.018618143458026967
11,131,6,0,112620.0,0.9996718339739725,0.02027577517552086
12,113,6,3,113820.0,1.0,0.02139429250585741
13,54,9,3,117840.0,0.9677591393705846,0.019469458504964624
14,53,10,0,118260.0,0.9660416206640416,0.018056860239887042
15,25,11,1,119020.0,0.9078363925653787,0.01779080130766933
16,125,7,3,128460.0,1.0,0.021115450197850855
17,31,12,1,131140.0,0.9342977714457236,0.01782781895891677
18,60,13,0,150000.0,0.9895242132742756,0.017918861324657837
19,78,11,4,150040.0,1.0,0.019745299950573687
20,122,10,1,150160.0,1.0,0.019522256028498428
21,80,12,3,157560.0,1.0,0.019256964443632667
22,98,12,1,159280.0,1.0,0.018881460727437054
23,36,16,0,168720.0,0.9665434998725503,0.017396535121341483
24,7,19,1,188260.0,0.9264613895106022,0.017161740157320596
25,43,19,3,209220.0,0.9933807318081487,0.01807527944511327
26,58,19,1,209680.0,0.9978753542034663,0.017802010512085114
27,67,19,2,216380.0,1.0,0.018120900519642897
28,20,22,2,225440.0,0.9697546653202604,0.017470778395275378
29,58,22,2,241400.0,0.999866903443411,0.01787158062857281
30,10,27,1,266320.0,0.9679843123517605,0.01709131637139604
31,0,28,0,268800.0,0.9505583909366634,0.016822447775202868
32,10,27,2,269240.0,0.9713389024634579,0.01725977572084182
33,58,25,2,270200.0,0.9999572679648924,0.017754809770783458
34,46,26,1,271840.0,0.9974461261850924,0.01744792532706632
35,46,26,5,283520.0,1.0,0.018116562738436464
36,98,25,2,287000.0,1.0,0.01809837698186987
37,91,26,1,290740.0,1.0,0.017840279777772264
38,43,29,3,305220.0,0.9999453674442547,0.017663818599709693
