id,solar_panels,wind_turbines,batteries,cost,reliability,environmental_impact
0,0,31,0,297600.0,0.9605970204654617,0.01682244777520286
1,0,8,0,76800.0,0.768732989144389,0.016822447775202868
2,26,32,0,318120.0,0.9883709999675973,0.017039527559556244
3,81,28,0,302820.0,1.0,0.017545996428233335
4,21,7,0,76020.0,0.8254279158430762,0.017570335106550972
5,135,4,3,103860.0,1.0,0.022774213489409674
6,142,4,2,103880.0,1.0,0.02230887723293572
7,137,4,1,98860.0,0.9987985063120532,0.021722248752563705
8,19,18,0,180780.0,0.9433616652637552,0.017102236371187043
9,22,28,0,278040.0,0.9806064823199124,0.017032555599138743
10,119,4,1,91300.0,0.9927111607149336,0.021476251520700776
11,32,7,0,80640.0,0.8650129047120017,0.01790981261742715
12,117,5,3,105900.0,1.0,0.02195953638003918
13,19,9,0,94380.0,0.855419270799512,0.017363450266976468
14,134,4,0,94680.0,0.9951264542132968,0.021142763555604755
15,7,8,0,79740.0,0.7948740489651619,0.017055747943172456
16,4,9,0,88080.0,0.8028750341336367,0.01694264267319427
17,16,27,0,265920.0,0.9718567614836392,0.016981923574127013
18,0,27,0,259200.0,0.9468441577738032,0.016822447775202868
19,53,6,0,79860.0,0.9165680481046754,0.01869109454344186
20,93,8,2,121700.0,1.0,0.019942811256042012
21,14,8,0,82680.0,0.8201980067723864,0.017276061559897263
22,126,4,2,97160.0,0.997056111090496,0.02213481592633466
23,0,13,0,124800.0,0.8502753439882519,0.016822447775202868
24,115,5,0,96300.0,0.9957127018664951,0.020379751806380228
25,96,8,0,117120.0,0.9979030940637651,0.019168158004617537
26,0,15,0,144000.0,0.872827763519779,0.016822447775202864
27,0,17,0,163200.0,0.8913720495720088,0.016822447775202868
28,23,7,0,76860.0,0.832758630099665,0.017634464983733243
29,0,30,0,288000.0,0.9575611555109892,0.016822447775202864
30,37,31,0,313140.0,0.993543377928153,0.01713739949836609
31,5,16,0,155700.0,0.8962173769685509,0.016907331499212565
32,126,6,0,110520.0,0.9994514896758618,0.020198575733658373
33,3,28,0,270060.0,0.9555427976400884,0.01685175135079199
34,124,4,0,90480.0,0.991476411465449,0.02098504195862295
35,110,4,1,87520.0,0.9875844951285685,0.021338735242345086
36,0,20,0,192000.0,0.9131726528656697,0.016822447775202864
37,119,9,0,136380.0,1.0,0.01933345497387878
38,40,15,0,160800.0,0.9692843370076274,0.017494085420659344
39,112,8,1,126760.0,1.0,0.019825005772756785
40,0,22,1,214120.0,0.9286272033762357,0.017031772551496585
41,53,7,0,89460.0,0.9336083446544649,0.018478390932396827
42,2,12,0,116040.0,0.8436636961859967,0.016867940232554106
43,6,19,0,184920.0,0.920625755639643,0.01690821560798485
44,3,18,0,174060.0,0.9065392805462432,0.016867940232554106
45,2,8,0,77640.0,0.776252299078145,0.01689049651877326
46,0,32,0,307200.0,0.9634125791484572,0.016822447775202868
47,0,16,0,153600.0,0.8825908256519848,0.016822447775202868
48,145,5,0,108900.0,0.9996220982247074,0.020849189880435406
49,16,8,0,83520.0,0.8273248407944334,0.01733677356926413
50,83,17,1,200980.0,1.0,0.01820595808943285
51,101,16,0,196020.0,1.0,0.018251330268667043
52,43,9,1,107380.0,0.9362021387595146,0.01839284313809029
53,3,8,0,78060.0,0.7800119540450228,0.016924096481631786
54,7,9,0,89340.0,0.8135179877034335,0.017030487478734476
55,0,25,0,240000.0,0.9388548341375785,0.016822447775202868
56,103,13,0,168060.0,1.0,0.018539098429211937
57,47,21,0,221340.0,0.9908710819699983,0.017393710555972067
58,14,9,0,92280.0,0.8381204668973736,0.017228169396667076
59,5,15,0,146100.0,0.8871938749352591,0.016912927582654676
60,11,23,0,225420.0,0.9505360680846766,0.016951642948166038
61,35,9,0,101100.0,0.9082490282731902,0.01776626622683342
