id,solar_panels,wind_turbines,batteries,cost,reliability,environmental_impact,source_algorithm,w_cost,w_reliability,w_impact
0,0,8,0,76800.0,0.768732989144389,0.016822447775202868,NSGA-II,,,
1,31,7,1,83140.0,0.8651766266246042,0.01845272476217767,NSGA-II,,,
2,25,8,0,87300.0,0.8590724432019159,0.017598529345568752,NSGA-II,,,
3,128,4,0,92160.0,0.9930436733915969,0.02104966464738252,NSGA-II,,,
4,131,6,0,112620.0,0.9996718339739725,0.02027577517552086,NSGA-II,,,
5,113,6,3,113820.0,1.0,0.02139429250585741,NSGA-II,,,
6,53,10,0,118260.0,0.9660416206640416,0.018056860239887042,NSGA-II,,,
7,31,12,1,131140.0,0.9342977714457236,0.01782781895891677,NSGA-II,,,
8,60,13,0,150000.0,0.9895242132742756,0.017918861324657837,NSGA-II,,,
9,80,12,3,157560.0,1.0,0.019256964443632667,NSGA-II,,,
10,98,12,1,159280.0,1.0,0.018881460727437054,NSGA-II,,,
11,36,16,0,168720.0,0.9665434998725503,0.017396535121341483,NSGA-II,,,
12,43,19,3,209220.0,0.9933807318081487,0.01807527944511327,NSGA-II,,,
13,58,19,1,209680.0,0.9978753542034663,0.017802010512085114,NSGA-II,,,
14,67,19,2,216380.0,1.0,0.018120900519642897,NSGA-II,,,
15,58,22,2,241400.0,0.999866903443411,0.01787158062857281,NSGA-II,,,
16,0,28,0,268800.0,0.9505583909366634,0.016822447775202868,NSGA-II,,,
17,58,25,2,270200.0,0.9999572679648924,0.017754809770783458,NSGA-II,,,
18,46,26,1,271840.0,0.9974461261850924,0.01744792532706632,NSGA-II,,,
19,0,31,0,297600.0,0.9605970204654617,0.01682244777520286,MOPSO,,,
20,0,8,0,76800.0,0.768732989144389,0.016822447775202868,MOPSO,,,
21,26,32,0,318120.0,0.9883709999675973,0.017039527559556244,MOPSO,,,
22,81,28,0,302820.0,1.0,0.017545996428233335,MOPSO,,,
23,21,7,0,76020.0,0.8254279158430762,0.017570335106550972,MOPSO,,,
24,135,4,3,103860.0,1.0,0.022774213489409674,MOPSO,,,
25,142,4,2,103880.0,1.0,0.02230887723293572,MOPSO,,,
26,137,4,1,98860.0,0.9987985063120532,0.021722248752563705,MOPSO,,,
27,19,18,0,180780.0,0.9433616652637552,0.017102236371187043,MOPSO,,,
28,22,28,0,278040.0,0.9806064823199124,0.017032555599138743,MOPSO,,,
29,119,4,1,91300.0,0.9927111607149336,0.021476251520700776,MOPSO,,,
30,32,7,0,80640.0,0.8650129047120017,0.01790981261742715,MOPSO,,,
31,117,5,3,105900.0,1.0,0.02195953638003918,MOPSO,,,
32,19,9,0,94380.0,0.855419270799512,0.017363450266976468,MOPSO,,,
33,134,4,0,94680.0,0.9951264542132968,0.021142763555604755,MOPSO,,,
34,7,8,0,79740.0,0.7948740489651619,0.017055747943172456,MOPSO,,,
35,4,9,0,88080.0,0.8028750341336367,0.01694264267319427,MOPSO,,,
36,16,27,0,265920.0,0.9718567614836392,0.016981923574127013,MOPSO,,,
37,0,27,0,259200.0,0.9468441577738032,0.016822447775202868,MOPSO,,,
38,53,6,0,79860.0,0.9165680481046754,0.01869109454344186,MOPSO,,,
39,93,8,2,121700.0,1.0,0.019942811256042012,MOPSO,,,
40,14,8,0,82680.0,0.8201980067723864,0.017276061559897263,MOPSO,,,
41,126,4,2,97160.0,0.997056111090496,0.02213481592633466,MOPSO,,,
42,0,13,0,124800.0,0.8502753439882519,0.016822447775202868,MOPSO,,,
43,115,5,0,96300.0,0.9957127018664951,0.020379751806380228,MOPSO,,,
44,96,8,0,117120.0,0.9979030940637651,0.019168158004617537,MOPSO,,,
45,0,15,0,144000.0,0.872827763519779,0.016822447775202864,MOPSO,,,
46,0,17,0,163200.0,0.8913720495720088,0.016822447775202868,MOPSO,,,
47,23,7,0,76860.0,0.832758630099665,0.017634464983733243,MOPSO,,,
48,0,30,0,288000.0,0.9575611555109892,0.016822447775202864,MOPSO,,,
49,37,31,0,313140.0,0.993543377928153,0.01713739949836609,MOPSO,,,
50,5,16,0,155700.0,0.8962173769685509,0.016907331499212565,MOPSO,,,
51,126,6,0,110520.0,0.9994514896758618,0.020198575733658373,MOPSO,,,
52,3,28,0,270060.0,0.9555427976400884,0.01685175135079199,MOPSO,,,
53,124,4,0,90480.0,0.991476411465449,0.02098504195862295,MOPSO,,,
54,110,4,1,87520.0,0.9875844951285685,0.021338735242345086,MOPSO,,,
55,0,20,0,192000.0,0.9131726528656697,0.016822447775202864,MOPSO,,,
56,119,9,0,136380.0,1.0,0.01933345497387878,MOPSO,,,
57,40,15,0,160800.0,0.9692843370076274,0.017494085420659344,MOPSO,,,
58,112,8,1,126760.0,1.0,0.019825005772756785,MOPSO,,,
59,0,22,1,214120.0,0.9286272033762357,0.017031772551496585,MOPSO,,,
60,53,7,0,89460.0,0.9336083446544649,0.018478390932396827,MOPSO,,,
61,2,12,0,116040.0,0.8436636961859967,0.016867940232554106,MOPSO,,,
62,6,19,0,184920.0,0.920625755639643,0.01690821560798485,MOPSO,,,
63,3,18,0,174060.0,0.9065392805462432,0.016867940232554106,MOPSO,,,
64,2,8,0,77640.0,0.776252299078145,0.01689049651877326,MOPSO,,,
65,0,32,0,307200.0,0.9634125791484572,0.016822447775202868,MOPSO,,,
66,0,16,0,153600.0,0.8825908256519848,0.016822447775202868,MOPSO,,,
67,145,5,0,108900.0,0.9996220982247074,0.020849189880435406,MOPSO,,,
68,16,8,0,83520.0,0.8273248407944334,0.01733677356926413,MOPSO,,,
69,83,17,1,200980.0,1.0,0.01820595808943285,MOPSO,,,
70,101,16,0,196020.0,1.0,0.018251330268667043,MOPSO,,,
