id,solar_panels,wind_turbines,batteries,cost,reliability,environmental_impact
0,55,6,1,83620.0,0.9270907603927178,0.019331423513935526
1,9,8,3,89340.0,0.8077120297054325,0.018783850351049312
2,54,7,0,89880.0,0.9365212929208423,0.01850319102513049
3,97,5,2,94580.0,0.9915176263556511,0.021157070841605976
4,159,3,2,101420.0,0.9945861844073371,0.023147962131376487
5,132,5,0,103440.0,0.9987639859219105,0.02065809796007656
6,127,5,3,110100.0,1.0,0.022068886987799664
7,109,6,3,112140.0,1.0,0.021344458415382236
8,95,7,3,115860.0,1.0,0.02073343321858119
9,119,7,0,117180.0,0.9995447164606271,0.019789657057505714
10,115,7,1,118420.0,1.0,0.02014896640844662
11,58,10,0,120360.0,0.9755846805612521,0.01815428169322241
12,7,12,1,121060.0,0.8641995566285046,0.017355846793183305
13,17,12,2,128180.0,0.8980180838458048,0.017926161646116306
14,54,11,0,128280.0,0.974289314299862,0.01797873304841338
15,58,10,3,129120.0,0.9821021595054118,0.01931003392892465
16,78,10,2,134600.0,0.9993689377275675,0.019247375624398867
17,13,13,2,136100.0,0.8968309470144187,0.017773387924528324
18,117,9,1,138460.0,1.0,0.019659963514238224
19,12,15,2,154880.0,0.9126034892807361,0.017634183248540426
20,54,14,0,157080.0,0.9859594486369003,0.0177594474857353
21,90,13,0,162600.0,0.9994252893290999,0.018363404255135465
22,54,16,0,176280.0,0.9896039421081071,0.01765427827251847
23,128,13,0,178560.0,1.0,0.018851990350275787
24,91,15,1,185140.0,1.0,0.018460044024062153
25,10,20,0,196200.0,0.935244085902314,0.016957418191444255
26,119,16,0,203580.0,1.0,0.01845496750806962
27,0,22,0,211200.0,0.9249528503046687,0.016822447775202868
28,13,22,0,216660.0,0.9501357738334881,0.016981479359422725
29,98,19,1,226480.0,1.0,0.018235161671516887
30,41,21,4,230500.0,0.9960805446227651,0.018148328257903554
31,91,22,0,249420.0,1.0,0.01781898262011666
32,4,26,0,251280.0,0.9499633950838638,0.016864458853417395
33,16,25,2,252560.0,0.9739720720358378,0.017355049652521486
34,7,26,1,255460.0,0.9598331229518076,0.017071213159325725
35,13,27,2,270500.0,0.9756403535719734,0.01728817693972725
36,13,27,3,273420.0,0.9781026352383281,0.01745601587712419
37,47,27,3,287700.0,1.0,0.017757136962230628
38,58,28,0,293160.0,0.9987993725039876,0.017353944302313202
39,7,30,1,293860.0,0.972193851877251,0.01703830309588969
40,54,28,2,297320.0,0.9999441184207173,0.017628399521864555
41,13,30,2,299300.0,0.982907748823584,0.017242274026345043
42,54,29,0,301080.0,0.99831670098348,0.01730339626914798
43,68,29,1,309880.0,1.0,0.01756613335712217
