gen,nevals,avg,min,max
0,0,[      inf 0.2408443       inf],[1.34500000e+05 0.00000000e+00 1.92192263e-02],[inf  1. inf]
1,159,[       inf 0.25835841        inf],[1.34500000e+05 0.00000000e+00 1.89185126e-02],[inf  1. inf]
2,142,[       inf 0.24966329        inf],[1.1214000e+05 0.0000000e+00 1.7492388e-02],[inf  1. inf]
3,149,[       inf 0.25988162        inf],[1.2942000e+05 0.0000000e+00 1.7492388e-02],[inf  1. inf]
4,158,[       inf 0.26925088        inf],[1.1900000e+05 0.0000000e+00 1.7492388e-02],[inf  1. inf]
5,158,[       inf 0.27367657        inf],[1.0344000e+05 0.0000000e+00 1.8203339e-02],[inf  1. inf]
6,157,[       inf 0.28364125        inf],[1.0344000e+05 0.0000000e+00 1.8203339e-02],[inf  1. inf]
7,151,[       inf 0.27744698        inf],[1.03440000e+05 0.00000000e+00 1.68224478e-02],[inf  1. inf]
8,151,[       inf 0.23925823        inf],[1.03440000e+05 0.00000000e+00 1.68224478e-02],[inf  1. inf]
9,157,[       inf 0.25815912        inf],[1.42780000e+05 0.00000000e+00 1.68224478e-02],[inf  1. inf]
10,145,[       inf 0.28430831        inf],[1.01420000e+05 0.00000000e+00 1.68644589e-02],[inf  1. inf]
11,157,[       inf 0.28239921        inf],[8.93400000e+04 0.00000000e+00 1.68644589e-02],[inf  1. inf]
12,163,[       inf 0.27806351        inf],[8.93400000e+04 0.00000000e+00 1.68644589e-02],[inf  1. inf]
13,142,[       inf 0.25521074        inf],[8.93400000e+04 0.00000000e+00 1.79062115e-02],[inf  1. inf]
14,156,[       inf 0.23397809        inf],[8.93400000e+04 0.00000000e+00 1.79062115e-02],[inf  1. inf]
15,146,[       inf 0.21546242        inf],[8.93400000e+04 0.00000000e+00 1.79062115e-02],[inf  1. inf]
16,148,[       inf 0.21059903        inf],[1.24100000e+05 0.00000000e+00 1.79062115e-02],[inf  1. inf]
17,146,[       inf 0.20510467        inf],[1.0904000e+05 0.0000000e+00 1.8460044e-02],[inf  1. inf]
18,158,[       inf 0.22989781        inf],[1.09040000e+05 0.00000000e+00 1.85865383e-02],[inf  1. inf]
19,152,[       inf 0.24633426        inf],[1.00280000e+05 0.00000000e+00 1.81380253e-02],[inf  1. inf]
20,161,[       inf 0.19570093        inf],[9.45800000e+04 0.00000000e+00 1.81380253e-02],[inf  1. inf]
21,151,[      inf 0.1814034       inf],[9.45800000e+04 0.00000000e+00 1.89395239e-02],[inf  1. inf]
22,145,[       inf 0.18636523        inf],[9.45800000e+04 0.00000000e+00 1.79261616e-02],[inf  1. inf]
23,150,[       inf 0.17777744        inf],[1.0288000e+05 0.0000000e+00 1.7242274e-02],[inf  1. inf]
24,148,[       inf 0.19798396        inf],[8.36200000e+04 0.00000000e+00 1.72881769e-02],[inf  1. inf]
25,157,[       inf 0.18980848        inf],[8.36200000e+04 0.00000000e+00 1.72881769e-02],[inf  1. inf]
26,153,[       inf 0.18842116        inf],[8.36200000e+04 0.00000000e+00 1.77733879e-02],[inf  1. inf]
27,144,[       inf 0.19961958        inf],[1.04940000e+05 0.00000000e+00 1.69814794e-02],[inf  1. inf]
28,159,[       inf 0.17535455        inf],[1.04940000e+05 0.00000000e+00 1.70712132e-02],[inf  1. inf]
29,147,[       inf 0.17308652        inf],[1.31380000e+05 0.00000000e+00 1.70712132e-02],[inf  1. inf]
30,156,[       inf 0.21677683        inf],[1.21060000e+05 0.00000000e+00 1.73558468e-02],[inf  1. inf]
31,155,[       inf 0.22920903        inf],[1.05680000e+05 0.00000000e+00 1.70383031e-02],[inf  1. inf]
32,148,[       inf 0.22665855        inf],[1.05680000e+05 0.00000000e+00 1.70383031e-02],[inf  1. inf]
33,153,[       inf 0.24203853        inf],[1.05680000e+05 0.00000000e+00 1.70383031e-02],[inf  1. inf]
34,157,[       inf 0.21711291        inf],[1.05680000e+05 0.00000000e+00 1.69574182e-02],[inf  1. inf]
35,150,[       inf 0.21622636        inf],[1.05680000e+05 0.00000000e+00 1.77594475e-02],[inf  1. inf]
36,140,[       inf 0.19244185        inf],[1.02760000e+05 0.00000000e+00 1.77594475e-02],[inf  1. inf]
37,146,[      inf 0.1988908       inf],[1.02760000e+05 0.00000000e+00 1.77594475e-02],[inf  1. inf]
38,146,[       inf 0.20365552        inf],[1.02760000e+05 0.00000000e+00 1.77594475e-02],[inf  1. inf]
39,144,[       inf 0.20141798        inf],[1.02760000e+05 0.00000000e+00 1.77594475e-02],[inf  1. inf]
40,149,[       inf 0.19033736        inf],[1.0276000e+05 0.0000000e+00 1.7978733e-02],[inf  1. inf]
41,152,[       inf 0.21467881        inf],[8.98800000e+04 0.00000000e+00 1.75661334e-02],[inf  1. inf]
42,154,[       inf 0.22490351        inf],[1.13300000e+05 0.00000000e+00 1.73033963e-02],[inf  1. inf]
43,152,[       inf 0.25036979        inf],[1.07840000e+05 0.00000000e+00 1.73033963e-02],[inf  1. inf]
44,144,[       inf 0.27511665        inf],[1.13300000e+05 0.00000000e+00 1.76542783e-02],[inf  1. inf]
45,149,[       inf 0.24594229        inf],[1.03160000e+05 0.00000000e+00 1.79170729e-02],[inf  1. inf]
46,148,[       inf 0.20144614        inf],[1.03160000e+05 0.00000000e+00 1.79170729e-02],[inf  1. inf]
47,147,[       inf 0.25661226        inf],[1.01420000e+05 0.00000000e+00 1.85078212e-02],[inf  1. inf]
48,137,[       inf 0.24871605        inf],[1.01420000e+05 0.00000000e+00 1.76283995e-02],[inf  1. inf]
49,154,[       inf 0.25343173        inf],[1.01420000e+05 0.00000000e+00 1.73550497e-02],[inf  1. inf]
50,154,[     inf 0.232165      inf],[1.01420000e+05 0.00000000e+00 1.73550497e-02],[inf  1. inf]
