id,solar_panels,wind_turbines,batteries,cost,reliability,environmental_impact,source_algorithm,w_cost,w_reliability,w_impact
0,27,7,1,81460.0,0.8505958893699124,0.018341680868875426,NSGA-II,,,
1,117,4,0,87540.0,0.9880581321931049,0.020866675606216783,NSGA-II,,,
2,6,9,0,88920.0,0.8099794642539866,0.01700142024112683,NSGA-II,,,
3,117,4,1,90460.0,0.9917246746413182,0.02144659971253169,NSGA-II,,,
4,113,5,1,98380.0,0.9978542352555946,0.020867568209156088,NSGA-II,,,
5,97,6,1,101260.0,0.9970095421909198,0.020192411371268138,NSGA-II,,,
6,106,6,0,102120.0,0.9969018353497242,0.019862607491037347,NSGA-II,,,
7,122,5,1,102160.0,0.9994860062697811,0.021004142797320546,NSGA-II,,,
8,144,4,2,104720.0,1.0,0.022329144380263122,NSGA-II,,,
9,135,5,1,107620.0,0.9998828635444809,0.021186105274821614,NSGA-II,,,
10,6,11,0,108120.0,0.8426020901327036,0.016969466862649468,NSGA-II,,,
11,85,7,2,108740.0,0.9971071804276027,0.02012179183071545,NSGA-II,,,
12,13,11,0,111060.0,0.8654924356365793,0.017134422650657476,NSGA-II,,,
13,55,9,1,112420.0,0.9665960679270514,0.018637862468222136,NSGA-II,,,
14,18,11,0,113160.0,0.8815248203804734,0.017248144836194954,NSGA-II,,,
15,122,6,2,114680.0,1.0,0.02104602972410337,NSGA-II,,,
16,85,8,1,115420.0,0.9976491997842589,0.019394144637258377,NSGA-II,,,
17,93,8,0,115860.0,0.9972729557863717,0.019115481143317403,NSGA-II,,,
18,41,10,1,116140.0,0.9420598442896612,0.01821591889850598,NSGA-II,,,
19,71,9,0,116220.0,0.9882715960720921,0.0185332461738283,NSGA-II,,,
20,121,7,0,118020.0,0.999643198303834,0.019821175079224415,NSGA-II,,,
21,85,8,2,118340.0,0.9989072518193022,0.01981807094482995,NSGA-II,,,
22,9,12,0,118980.0,0.8659835633523534,0.017023240564239435,NSGA-II,,,
23,55,10,0,119100.0,0.9700592347175367,0.018096161050095136,NSGA-II,,,
24,92,8,2,121280.0,1.0,0.01992754996330601,NSGA-II,,,
25,55,10,1,122020.0,0.9740126906694038,0.018484696272641297,NSGA-II,,,
26,71,10,0,125820.0,0.9913066646297184,0.018395184069350794,NSGA-II,,,
27,52,11,0,127440.0,0.970518920540401,0.01794179009691221,NSGA-II,,,
28,34,12,0,129480.0,0.9374327909207738,0.01753240564547352,NSGA-II,,,
29,48,12,0,135360.0,0.9686753649036073,0.01779003061732164,NSGA-II,,,
30,30,13,0,137400.0,0.9354863218259849,0.017410193625203685,NSGA-II,,,
31,65,11,2,138740.0,0.9953088110303718,0.018873482889409984,NSGA-II,,,
32,55,13,0,147900.0,0.9843921775380056,0.017838889946649183,NSGA-II,,,
33,55,13,1,150820.0,0.9889148129446725,0.01814894684334094,NSGA-II,,,
34,57,14,1,161260.0,0.9928563412165289,0.018094493986940626,NSGA-II,,,
35,113,12,0,162660.0,1.0,0.018784780145694586,NSGA-II,,,
36,52,15,0,165840.0,0.9861473206430712,0.017674508895591294,NSGA-II,,,
37,25,16,1,167020.0,0.9485885505205314,0.017503320957932594,NSGA-II,,,
38,83,14,1,172180.0,0.9999597334396888,0.018453076566637066,NSGA-II,,,
39,22,17,0,172440.0,0.9440896984562771,0.01716282908193429,NSGA-II,,,
40,85,15,0,179700.0,0.9993892802015527,0.018128572067879517,NSGA-II,,,
41,52,17,0,185040.0,0.989462145177799,0.017583629795888355,NSGA-II,,,
42,52,17,1,187960.0,0.9934478992123377,0.017829217482450824,NSGA-II,,,
43,55,17,1,189220.0,0.9953238975043577,0.017867500161949375,NSGA-II,,,
44,62,17,1,192160.0,0.9979802711635457,0.01795525016499462,NSGA-II,,,
45,6,20,0,194520.0,0.9266696811330938,0.016903970116971367,NSGA-II,,,
46,30,19,0,195000.0,0.9680318112037215,0.01723396237893184,NSGA-II,,,
47,83,17,0,198060.0,0.999688492434397,0.017973324632312496,NSGA-II,,,
48,65,19,1,212620.0,0.9994471414915624,0.017881788336716057,NSGA-II,,,
49,65,19,2,215540.0,0.9999576885368283,0.018099120688441505,NSGA-II,,,
50,35,21,1,219220.0,0.9854306957981172,0.017463245256482372,NSGA-II,,,
51,106,19,0,226920.0,1.0,0.018111551823537415,NSGA-II,,,
52,41,22,1,231340.0,0.9922443341174725,0.017500738069370452,NSGA-II,,,
53,52,22,0,233040.0,0.9944655045842357,0.01742339127782858,NSGA-II,,,
54,57,22,1,238060.0,0.9987864664446955,0.017669059533410393,NSGA-II,,,
55,83,22,1,248980.0,1.0,0.017926976329216367,NSGA-II,,,
56,55,24,1,256420.0,0.9989367026343671,0.017584535501931467,NSGA-II,,,
57,55,24,2,259340.0,0.9998261084997785,0.01776266646427584,NSGA-II,,,
58,62,24,1,259360.0,0.9997174996665971,0.01765129791940132,NSGA-II,,,
59,57,24,2,260180.0,0.9999012679413177,0.017781402414824433,NSGA-II,,,
60,62,24,2,262280.0,1.0,0.01782781895891677,NSGA-II,,,
61,25,26,1,263020.0,0.9846729308646559,0.01724966210266309,NSGA-II,,,
62,30,26,1,265120.0,0.9893690805642759,0.01729780951038836,NSGA-II,,,
63,22,27,0,268440.0,0.9787579581995531,0.01704012949984393,NSGA-II,,,
64,48,26,0,269760.0,0.9953234941560635,0.01729952625336026,NSGA-II,,,
65,22,27,1,271360.0,0.9834812223464522,0.01720613432014935,NSGA-II,,,
66,52,26,0,271440.0,0.9966307633993683,0.01733677356926413,NSGA-II,,,
67,52,27,0,281040.0,0.9970300742118829,0.017318884928936545,NSGA-II,,,
68,52,27,1,283960.0,0.9990698408541021,0.01747905535965602,NSGA-II,,,
69,30,28,1,284320.0,0.9914315797005699,0.017265037806435835,NSGA-II,,,
70,33,28,1,285580.0,0.9932743181847652,0.017291787932139747,NSGA-II,,,
71,0,31,0,297600.0,0.9605970204654617,0.01682244777520286,MOPSO,,,
72,0,8,0,76800.0,0.768732989144389,0.016822447775202868,MOPSO,,,
73,26,32,0,318120.0,0.9883709999675973,0.017039527559556244,MOPSO,,,
74,80,29,0,312000.0,1.0,0.017515276295888015,MOPSO,,,
75,22,7,0,76440.0,0.8290982847461701,0.017602539568197753,MOPSO,,,
76,135,4,3,103860.0,1.0,0.022774213489409674,MOPSO,,,
77,144,4,2,104720.0,1.0,0.022329144380263122,MOPSO,,,
78,132,4,0,93840.0,0.9944451299312312,0.021112225622141618,MOPSO,,,
79,121,4,0,89220.0,0.9901069607614945,0.02093515986592983,MOPSO,,,
80,37,19,0,197940.0,0.9783317281397541,0.01732407183456387,MOPSO,,,
81,128,4,1,95080.0,0.9963026605929184,0.02160373634903838,MOPSO,,,
82,4,8,0,78480.0,0.783762609331152,0.016957418191444255,MOPSO,,,
83,25,21,0,212100.0,0.9669935630939204,0.01713662006637955,MOPSO,,,
84,0,24,0,230400.0,0.9346150004843798,0.016822447775202864,MOPSO,,,
85,1,8,0,77220.0,0.772492644111267,0.016856614802926072,MOPSO,,,
86,0,28,0,268800.0,0.9505583909366634,0.016822447775202868,MOPSO,,,
87,0,14,0,134400.0,0.8620797481404534,0.016822447775202868,MOPSO,,,
88,0,27,0,259200.0,0.9468441577738032,0.016822447775202868,MOPSO,,,
89,37,7,0,82740.0,0.8822575464056749,0.018054035839452316,MOPSO,,,
90,84,5,0,83280.0,0.9721947253444672,0.01976736393002673,MOPSO,,,
91,141,4,1,100540.0,0.9993158162711291,0.021772284821288162,MOPSO,,,
92,123,8,0,128460.0,1.0,0.019602797619847276,MOPSO,,,
93,84,28,0,304080.0,1.0,0.017570335106550972,MOPSO,,,
94,0,25,0,240000.0,0.9388548341375785,0.016822447775202868,MOPSO,,,
95,109,8,0,122580.0,0.9994902204805821,0.019385884162235082,MOPSO,,,
96,30,9,1,101920.0,0.8962054026895262,0.01810507694552645,MOPSO,,,
97,0,29,0,278400.0,0.9541002391303898,0.016822447775202864,MOPSO,,,
98,11,10,0,100620.0,0.844490873153368,0.017113596049243916,MOPSO,,,
99,33,20,0,205860.0,0.975774934511162,0.017251505532850733,MOPSO,,,
100,1,9,0,86820.0,0.7922175507105965,0.01685283262165584,MOPSO,,,
101,19,8,0,84780.0,0.8379900336530346,0.01742606642350711,MOPSO,,,
102,13,24,0,235860.0,0.9579316541952749,0.016968464190628658,MOPSO,,,
103,42,7,0,84840.0,0.899184731857804,0.01819248593455814,MOPSO,,,
104,95,7,3,115860.0,1.0,0.02073343321858119,MOPSO,,,
105,35,16,0,168300.0,0.9647215271832947,0.01738168261570943,MOPSO,,,
106,5,14,0,136500.0,0.8771673520156966,0.016919313603839088,MOPSO,,,
107,124,10,0,148080.0,1.0,0.019223312017842366,MOPSO,,,
108,51,8,0,98220.0,0.9416280288146117,0.018262976758358224,MOPSO,,,
109,36,17,0,178320.0,0.9705501970828011,0.017365013680111077,MOPSO,,,
110,11,8,0,81420.0,0.8094186299802871,0.017183161239537895,MOPSO,,,
111,58,23,0,245160.0,0.9971150748640504,0.01746044113570984,MOPSO,,,
112,5,15,0,146100.0,0.8871938749352591,0.016912927582654676,MOPSO,,,
113,1,26,0,250020.0,0.9446881912806961,0.0168329913113027,MOPSO,,,
114,82,24,0,264840.0,0.9999219091380881,0.01766348789903091,MOPSO,,,
115,4,19,0,184080.0,0.9160087129891903,0.016879827635690268,MOPSO,,,
116,116,11,0,154320.0,1.0,0.01895835329150864,MOPSO,,,
117,118,4,1,90880.0,0.9922179176781258,0.021461488238368454,MOPSO,,,
118,55,6,0,80700.0,0.9228380910863272,0.018744973624816273,MOPSO,,,
119,38,21,0,217560.0,0.983924337137081,0.017290604215079688,MOPSO,,,
120,10,16,0,157800.0,0.9090897013711823,0.01699046509042379,MOPSO,,,
121,101,25,0,282420.0,1.0,0.01779854746859375,MOPSO,,,
122,0,13,0,124800.0,0.8502753439882519,0.016822447775202868,MOPSO,,,
123,82,11,0,140040.0,0.9977333811284089,0.018457958052447345,MOPSO,,,
124,2,14,0,135240.0,0.8681492100898404,0.016861472432469077,MOPSO,,,
125,130,4,2,98840.0,0.9983121212676629,0.022180430457298766,MOPSO,,,
126,0,23,0,220800.0,0.9301787937319094,0.016822447775202864,MOPSO,,,
127,80,8,0,110400.0,0.9917182131595009,0.018875711792073837,MOPSO,,,
128,101,6,1,102940.0,0.9983547426117708,0.020260896983505396,MOPSO,,,
129,17,16,0,160740.0,0.9262696221545516,0.017104013485398833,MOPSO,,,
130,101,5,0,90420.0,0.9888362211223317,0.02012203787515584,MOPSO,,,
131,123,5,0,99660.0,0.9976182121822241,0.020515081257653153,MOPSO,,,
132,105,7,1,114220.0,0.9997745528060302,0.019994802097154152,MOPSO,,,
133,8,9,0,89760.0,0.8170482633570608,0.017059343467920752,MOPSO,,,
134,99,7,1,111700.0,0.9994497343152515,0.019897479880780104,MOPSO,,,
135,4,9,0,88080.0,0.8028750341336367,0.01694264267319427,MOPSO,,,
136,110,6,1,106720.0,0.9995147218352163,0.020408037176699985,MOPSO,,,
137,0,11,0,105600.0,0.8225298754808392,0.016822447775202868,MOPSO,,,
138,90,11,0,143400.0,0.998902551739618,0.018583046767180998,MOPSO,,,
139,64,17,1,193000.0,0.9985319177069926,0.01797992482579769,MOPSO,,,
140,0,17,0,163200.0,0.8913720495720088,0.016822447775202868,MOPSO,,,
141,20,29,0,286800.0,0.9804012316056624,0.017007451597942914,MOPSO,,,
142,116,4,2,92960.0,0.9926521033909532,0.022013978804878098,MOPSO,,,
143,100,11,1,150520.0,1.0,0.0190533163794699,MOPSO,,,
144,34,22,0,225480.0,0.9817716811718277,0.017225665199155398,MOPSO,,,
145,97,14,0,175140.0,1.0,0.018364395826475755,MOPSO,,,
146,12,30,0,293040.0,0.9737364210675061,0.016930782972863438,MOPSO,,,
147,3,9,0,87660.0,0.7993228190734617,0.01691292758265468,MOPSO,,,
148,113,13,0,172260.0,1.0,0.01866801781648661,MOPSO,,,
149,0,19,0,182400.0,0.90628657934703,0.016822447775202864,MOPSO,,,
150,9,26,0,253380.0,0.9584128505824321,0.016916367467570987,MOPSO,,,
151,0,15,0,144000.0,0.872827763519779,0.016822447775202864,MOPSO,,,
152,54,6,0,80280.0,0.9197250773748811,0.01871815013786265,MOPSO,,,
153,70,6,0,87000.0,0.962329804000427,0.019121381304685638,MOPSO,,,
154,160,4,1,108520.0,1.0,0.021990345828276796,MOPSO,,,
155,117,8,0,125940.0,0.9998408003795741,0.019511932564445073,MOPSO,,,
156,2,10,0,96840.0,0.8133984687107613,0.016876977840757097,MOPSO,,,
157,96,26,0,289920.0,1.0,0.01772383398095236,MOPSO,,,
158,0,20,0,192000.0,0.9131726528656697,0.016822447775202864,MOPSO,,,
159,5,8,0,78900.0,0.7874933549172779,0.01699046509042379,MOPSO,,,
160,29,10,0,108180.0,0.9028925336675356,0.01754762398580727,MOPSO,,,
161,8,10,0,99360.0,0.8342557538930786,0.017036275502537897,MOPSO,,,
162,38,22,0,227160.0,0.9855189520774754,0.01727049437200201,MOPSO,,,
163,81,18,0,206820.0,0.9996908178519992,0.01789505884208176,MOPSO,,,
164,11,9,0,91020.0,0.8276377643634762,0.017144666725577653,MOPSO,,,
165,135,5,0,104700.0,0.9990545539524635,0.02070375190594897,MOPSO,,,
166,0,8,0,76800.0,0.768732989144389,0.016822447775202868,Weighted-Sum,1.0,0.0,0.0
167,0,31,0,297600.0,0.9605970204654617,0.01682244777520286,Weighted-Sum,0.0,0.0,1.0
168,77,6,0,89940.0,0.9748670929909534,0.019281891223133393,Weighted-Sum,0.52,0.33,0.15
169,92,6,0,96240.0,0.9902280974445765,0.019597828983187463,Weighted-Sum,0.28,0.48,0.24
170,101,7,0,109620.0,0.9978286180187812,0.01948762404138461,Weighted-Sum,0.12,0.67,0.21
171,0,8,0,76800.0,0.768732989144389,0.016822447775202868,Weighted-Sum,0.4,0.12,0.48
172,90,7,0,105000.0,0.9939357455179192,0.019285075277137315,Weighted-Sum,0.19,0.52,0.29
173,84,6,0,92880.0,0.9836879131730475,0.01943382852577654,Weighted-Sum,0.33,0.38,0.29
174,111,5,0,94620.0,0.9942375474515269,0.02030895737147711,Weighted-Sum,0.26,0.61,0.13
175,66,10,0,123720.0,0.9868153795212891,0.018304571944988125,Weighted-Sum,0.14,0.29,0.57
176,70,6,0,87000.0,0.962329804000427,0.019121381304685638,Weighted-Sum,0.36,0.23,0.41
177,22,7,0,76440.0,0.8290982847461701,0.017602539568197753,Weighted-Sum,0.47,0.11,0.42
178,98,8,0,117960.0,0.9982993665275957,0.019202752555597384,Weighted-Sum,0.09,0.74,0.17
179,113,4,0,85860.0,0.9857263460966146,0.02079582730608439,Weighted-Sum,0.41,0.32,0.27
180,101,5,0,90420.0,0.9888362211223317,0.02012203787515584,Weighted-Sum,0.38,0.48,0.14
