gen,nevals,avg,min,max
0,0,[      inf 0.2408443       inf],[1.34500000e+05 0.00000000e+00 1.92192263e-02],[inf  1. inf]
1,155,[       inf 0.24043384        inf],[1.22620000e+05 0.00000000e+00 1.92192263e-02],[inf  1. inf]
2,154,[      inf 0.2418469       inf],[1.39300000e+05 0.00000000e+00 1.87452908e-02],[inf  1. inf]
3,156,[       inf 0.26024007        inf],[1.19200000e+05 0.00000000e+00 1.80005416e-02],[inf  1. inf]
4,151,[       inf 0.25861353        inf],[1.10780000e+05 0.00000000e+00 1.83553019e-02],[inf  1. inf]
5,152,[       inf 0.27192578        inf],[1.04720000e+05 0.00000000e+00 1.77900306e-02],[inf  1. inf]
6,139,[       inf 0.29660558        inf],[9.61000000e+04 0.00000000e+00 1.76033929e-02],[inf  1. inf]
7,156,[       inf 0.27593274        inf],[9.61000000e+04 0.00000000e+00 1.77900306e-02],[inf  1. inf]
8,161,[      inf 0.2563109       inf],[1.04720000e+05 0.00000000e+00 1.70232406e-02],[inf  1. inf]
9,150,[       inf 0.27497661        inf],[9.61000000e+04 0.00000000e+00 1.77900306e-02],[inf  1. inf]
10,153,[       inf 0.23104558        inf],[9.61000000e+04 0.00000000e+00 1.83215433e-02],[inf  1. inf]
11,147,[       inf 0.26917759        inf],[1.14380000e+05 0.00000000e+00 1.74421847e-02],[inf  1. inf]
12,140,[       inf 0.26952063        inf],[1.07680000e+05 0.00000000e+00 1.84300525e-02],[inf  1. inf]
13,162,[       inf 0.26886341        inf],[1.05640000e+05 0.00000000e+00 1.80681765e-02],[inf  1. inf]
14,152,[      inf 0.2775729       inf],[8.85200000e+04 0.00000000e+00 1.72995263e-02],[inf  1. inf]
15,146,[       inf 0.27622393        inf],[8.85200000e+04 0.00000000e+00 1.73367736e-02],[inf  1. inf]
16,162,[       inf 0.28809656        inf],[8.85200000e+04 0.00000000e+00 1.73543165e-02],[inf  1. inf]
17,158,[       inf 0.27562006        inf],[8.75400000e+04 0.00000000e+00 1.73367736e-02],[inf  1. inf]
18,172,[       inf 0.27901014        inf],[8.75400000e+04 0.00000000e+00 1.72481448e-02],[inf  1. inf]
19,143,[       inf 0.30377861        inf],[8.85200000e+04 0.00000000e+00 1.72339624e-02],[inf  1. inf]
20,161,[       inf 0.28707258        inf],[8.85200000e+04 0.00000000e+00 1.72339624e-02],[inf  1. inf]
21,151,[       inf 0.29623816        inf],[9.04600000e+04 0.00000000e+00 1.72339624e-02],[inf  1. inf]
22,140,[       inf 0.29383455        inf],[8.85200000e+04 0.00000000e+00 1.72650378e-02],[inf  1. inf]
23,152,[       inf 0.28244913        inf],[9.98000000e+04 0.00000000e+00 1.72978095e-02],[inf  1. inf]
24,167,[       inf 0.28245776        inf],[9.02000000e+04 0.00000000e+00 1.77700061e-02],[inf  1. inf]
25,138,[       inf 0.27496405        inf],[9.02000000e+04 0.00000000e+00 1.75007381e-02],[inf  1. inf]
26,149,[       inf 0.30186912        inf],[9.0200000e+04 0.0000000e+00 1.7422405e-02],[inf  1. inf]
27,135,[       inf 0.28583894        inf],[9.0200000e+04 0.0000000e+00 1.7422405e-02],[inf  1. inf]
28,157,[       inf 0.27263381        inf],[9.48400000e+04 0.00000000e+00 1.71628291e-02],[inf  1. inf]
