gen,nevals,avg,min,max
29,153,[       inf 0.24769429        inf],[9.02000000e+04 0.00000000e+00 1.71628291e-02],[inf  1. inf]
30,142,[       inf 0.24355951        inf],[9.02000000e+04 0.00000000e+00 1.71628291e-02],[inf  1. inf]
31,157,[       inf 0.24399666        inf],[9.02000000e+04 0.00000000e+00 1.74101936e-02],[inf  1. inf]
32,151,[       inf 0.23376888        inf],[8.89200000e+04 0.00000000e+00 1.70014202e-02],[inf  1. inf]
33,153,[       inf 0.21507877        inf],[9.02000000e+04 0.00000000e+00 1.69039701e-02],[inf  1. inf]
34,174,[       inf 0.24653122        inf],[9.02000000e+04 0.00000000e+00 1.73188849e-02],[inf  1. inf]
35,141,[       inf 0.26398758        inf],[9.96600000e+04 0.00000000e+00 1.72061343e-02],[inf  1. inf]
36,148,[       inf 0.27805631        inf],[9.98000000e+04 0.00000000e+00 1.73188849e-02],[inf  1. inf]
37,168,[       inf 0.24813379        inf],[9.02000000e+04 0.00000000e+00 1.72061343e-02],[inf  1. inf]
38,171,[      inf 0.2711755       inf],[9.02000000e+04 0.00000000e+00 1.71628291e-02],[inf  1. inf]
39,153,[       inf 0.22193306        inf],[8.73800000e+04 0.00000000e+00 1.71628291e-02],[inf  1. inf]
40,150,[       inf 0.22601188        inf],[8.73800000e+04 0.00000000e+00 1.73188849e-02],[inf  1. inf]
41,152,[       inf 0.24730494        inf],[9.02000000e+04 0.00000000e+00 1.70401295e-02],[inf  1. inf]
42,148,[     inf 0.268249      inf],[9.83800000e+04 0.00000000e+00 1.70401295e-02],[inf  1. inf]
43,163,[       inf 0.23775264        inf],[9.98000000e+04 0.00000000e+00 1.71628291e-02],[inf  1. inf]
44,170,[      inf 0.2440934       inf],[1.20420000e+05 0.00000000e+00 1.73188849e-02],[inf  1. inf]
45,151,[       inf 0.23358109        inf],[1.11080000e+05 0.00000000e+00 1.74476898e-02],[inf  1. inf]
46,131,[       inf 0.22589255        inf],[1.07740000e+05 0.00000000e+00 1.74632453e-02],[inf  1. inf]
47,154,[      inf 0.2219445       inf],[8.14600000e+04 0.00000000e+00 1.75845355e-02],[inf  1. inf]
48,161,[      inf 0.2308829       inf],[1.10640000e+05 0.00000000e+00 1.75845355e-02],[inf  1. inf]
49,146,[       inf 0.23223213        inf],[1.08120000e+05 0.00000000e+00 1.69694669e-02],[inf  1. inf]
50,153,[       inf 0.21139609        inf],[1.11060000e+05 0.00000000e+00 1.71344227e-02],[inf  1. inf]
