id,solar_panels,wind_turbines,batteries,cost,reliability,environmental_impact
0,0,31,0,297600.0,0.9605970204654617,0.01682244777520286
1,0,8,0,76800.0,0.768732989144389,0.016822447775202868
2,26,32,0,318120.0,0.9883709999675973,0.017039527559556244
3,80,29,0,312000.0,1.0,0.017515276295888015
4,22,7,0,76440.0,0.8290982847461701,0.017602539568197753
5,135,4,3,103860.0,1.0,0.022774213489409674
6,144,4,2,104720.0,1.0,0.022329144380263122
7,132,4,0,93840.0,0.9944451299312312,0.021112225622141618
8,121,4,0,89220.0,0.9901069607614945,0.02093515986592983
9,37,19,0,197940.0,0.9783317281397541,0.01732407183456387
10,128,4,1,95080.0,0.9963026605929184,0.02160373634903838
11,4,8,0,78480.0,0.783762609331152,0.016957418191444255
12,25,21,0,212100.0,0.9669935630939204,0.01713662006637955
13,0,24,0,230400.0,0.9346150004843798,0.016822447775202864
14,1,8,0,77220.0,0.772492644111267,0.016856614802926072
15,0,28,0,268800.0,0.9505583909366634,0.016822447775202868
16,0,14,0,134400.0,0.8620797481404534,0.016822447775202868
17,0,27,0,259200.0,0.9468441577738032,0.016822447775202868
18,37,7,0,82740.0,0.8822575464056749,0.018054035839452316
19,84,5,0,83280.0,0.9721947253444672,0.01976736393002673
20,141,4,1,100540.0,0.9993158162711291,0.021772284821288162
21,123,8,0,128460.0,1.0,0.019602797619847276
22,84,28,0,304080.0,1.0,0.017570335106550972
23,0,25,0,240000.0,0.9388548341375785,0.016822447775202868
24,109,8,0,122580.0,0.9994902204805821,0.019385884162235082
25,30,9,1,101920.0,0.8962054026895262,0.01810507694552645
26,0,29,0,278400.0,0.9541002391303898,0.016822447775202864
27,11,10,0,100620.0,0.844490873153368,0.017113596049243916
28,5,12,1,120220.0,0.8577825983946487,0.01731368511179657
29,33,20,0,205860.0,0.975774934511162,0.017251505532850733
30,1,9,0,86820.0,0.7922175507105965,0.01685283262165584
31,19,8,0,84780.0,0.8379900336530346,0.01742606642350711
32,13,24,0,235860.0,0.9579316541952749,0.016968464190628658
33,42,7,0,84840.0,0.899184731857804,0.01819248593455814
34,95,7,3,115860.0,1.0,0.02073343321858119
35,35,16,0,168300.0,0.9647215271832947,0.01738168261570943
36,5,14,0,136500.0,0.8771673520156966,0.016919313603839088
37,124,10,0,148080.0,1.0,0.019223312017842366
38,51,8,0,98220.0,0.9416280288146117,0.018262976758358224
39,36,17,0,178320.0,0.9705501970828011,0.017365013680111077
40,11,8,0,81420.0,0.8094186299802871,0.017183161239537895
41,58,23,0,245160.0,0.9971150748640504,0.01746044113570984
42,5,15,0,146100.0,0.8871938749352591,0.016912927582654676
43,1,26,0,250020.0,0.9446881912806961,0.0168329913113027
44,144,4,0,98880.0,0.9976308217578638,0.02128847985179374
45,82,24,0,264840.0,0.9999219091380881,0.01766348789903091
46,4,19,0,184080.0,0.9160087129891903,0.016879827635690268
47,116,11,0,154320.0,1.0,0.01895835329150864
48,118,4,1,90880.0,0.9922179176781258,0.021461488238368454
49,55,6,0,80700.0,0.9228380910863272,0.018744973624816273
50,38,21,0,217560.0,0.983924337137081,0.017290604215079688
51,10,16,0,157800.0,0.9090897013711823,0.01699046509042379
52,101,25,0,282420.0,1.0,0.01779854746859375
53,0,13,0,124800.0,0.8502753439882519,0.016822447775202868
54,82,11,0,140040.0,0.9977333811284089,0.018457958052447345
55,2,14,0,135240.0,0.8681492100898404,0.016861472432469077
56,130,4,2,98840.0,0.9983121212676629,0.022180430457298766
57,0,23,0,220800.0,0.9301787937319094,0.016822447775202864
58,80,8,0,110400.0,0.9917182131595009,0.018875711792073837
59,101,6,1,102940.0,0.9983547426117708,0.020260896983505396
60,17,16,0,160740.0,0.9262696221545516,0.017104013485398833
61,101,5,0,90420.0,0.9888362211223317,0.02012203787515584
