id,solar_panels,wind_turbines,batteries,cost,reliability,environmental_impact,source_algorithm,w_cost,w_reliability,w_impact
0,78,7,0,99960.0,0.9850267181396165,0.01904633199209425,NSGA-II,,,
1,114,5,2,101720.0,0.9993223610289933,0.021404155969794735,NSGA-II,,,
2,102,7,2,115880.0,1.0,0.020387899992878857,NSGA-II,,,
3,128,7,0,120960.0,0.9998779495323284,0.019928531741140953,NSGA-II,,,
4,144,7,0,127680.0,1.0,0.020157876324769515,NSGA-II,,,
5,91,10,2,140060.0,1.0,0.019439221297668834,NSGA-II,,,
6,122,10,0,147240.0,1.0,0.019195866680438184,NSGA-II,,,
7,78,13,0,157560.0,0.9978372320237073,0.01819248593455814,NSGA-II,,,
8,25,18,0,183300.0,0.9551702587783684,0.017186641973024486,NSGA-II,,,
9,34,18,0,187080.0,0.9709687470275944,0.01730990913627942,NSGA-II,,,
10,40,18,0,189600.0,0.9795363058852385,0.017389941190474722,NSGA-II,,,
11,68,18,0,201360.0,0.9976628508876996,0.01774234403556348,NSGA-II,,,
12,34,20,0,206280.0,0.9771074861335622,0.017263803104628984,NSGA-II,,,
13,40,20,0,208800.0,0.9840573970168723,0.017336773569264125,NSGA-II,,,
14,75,18,2,210140.0,1.0,0.018274092685618783,NSGA-II,,,
15,40,23,0,237600.0,0.9883256393149282,0.017273399996371598,NSGA-II,,,
16,40,25,1,259720.0,0.9945753297325343,0.01741395467258366,NSGA-II,,,
17,40,26,1,269320.0,0.9952909936402293,0.01739232525330326,NSGA-II,,,
18,91,25,2,284060.0,1.0,0.018040633999175836,NSGA-II,,,
19,78,27,0,291960.0,0.999908759593913,0.017545091921186005,NSGA-II,,,
20,0,31,0,297600.0,0.9605970204654617,0.01682244777520286,MOPSO,,,
21,0,8,0,76800.0,0.768732989144389,0.016822447775202868,MOPSO,,,
22,6,33,0,319320.0,0.9732041728394966,0.01687205073680644,MOPSO,,,
23,82,28,0,303240.0,1.0,0.01755412708764143,MOPSO,,,
24,143,4,2,104300.0,1.0,0.022319049520820606,MOPSO,,,
25,123,5,3,108420.0,1.0,0.02202611358795339,MOPSO,,,
26,4,8,0,78480.0,0.783762609331152,0.016957418191444255,MOPSO,,,
