gen,nevals,avg,min,max
0,0,[       inf 0.19977273        inf],[1.44440000e+05 0.00000000e+00 1.99469072e-02],[inf  1. inf]
1,75,[       inf 0.19650815        inf],[1.41900000e+05 0.00000000e+00 2.02429062e-02],[inf  1. inf]
2,72,[       inf 0.24161965        inf],[1.01020000e+05 0.00000000e+00 1.90490534e-02],[inf  1. inf]
3,75,[      inf 0.2427506       inf],[1.28740000e+05 0.00000000e+00 1.81664837e-02],[inf  1. inf]
4,66,[       inf 0.24666177        inf],[1.45940000e+05 0.00000000e+00 1.97876591e-02],[inf  1. inf]
5,77,[       inf 0.18601923        inf],[1.31100000e+05 0.00000000e+00 1.84965093e-02],[inf  1. inf]
6,75,[       inf 0.18983451        inf],[1.40300000e+05 0.00000000e+00 1.87147145e-02],[inf  1. inf]
7,71,[       inf 0.19786662        inf],[1.05440000e+05 0.00000000e+00 1.79215754e-02],[inf  1. inf]
8,79,[      inf 0.2175874       inf],[1.02520000e+05 0.00000000e+00 1.81461591e-02],[inf  1. inf]
9,87,[       inf 0.23649113        inf],[8.82800000e+04 0.00000000e+00 1.76527956e-02],[inf  1. inf]
10,79,[       inf 0.27556757        inf],[8.82800000e+04 0.00000000e+00 1.80285234e-02],[inf  1. inf]
11,86,[       inf 0.25593748        inf],[9.41200000e+04 0.00000000e+00 1.81461591e-02],[inf  1. inf]
12,69,[       inf 0.29051867        inf],[9.41200000e+04 0.00000000e+00 1.83762223e-02],[inf  1. inf]
13,76,[      inf 0.2542295       inf],[8.82800000e+04 0.00000000e+00 1.81461591e-02],[inf  1. inf]
14,82,[       inf 0.23369595        inf],[1.07480000e+05 0.00000000e+00 1.79215754e-02],[inf  1. inf]
15,67,[       inf 0.22295422        inf],[9.60800000e+04 0.00000000e+00 1.79215754e-02],[inf  1. inf]
16,90,[      inf 0.2335888       inf],[1.06600000e+05 0.00000000e+00 1.81461591e-02],[inf  1. inf]
17,75,[       inf 0.25152115        inf],[1.07480000e+05 0.00000000e+00 1.79215754e-02],[inf  1. inf]
18,72,[       inf 0.22707131        inf],[1.07480000e+05 0.00000000e+00 1.78513997e-02],[inf  1. inf]
19,65,[       inf 0.23845426        inf],[1.29740000e+05 0.00000000e+00 1.81461591e-02],[inf  1. inf]
20,79,[       inf 0.20607956        inf],[1.0748000e+05 0.0000000e+00 1.7472408e-02],[inf  1. inf]
21,65,[       inf 0.24263042        inf],[1.0748000e+05 0.0000000e+00 1.7344991e-02],[inf  1. inf]
22,75,[      inf 0.2224135       inf],[9.31600000e+04 0.00000000e+00 1.73461708e-02],[inf  1. inf]
23,75,[       inf 0.24092332        inf],[9.31600000e+04 0.00000000e+00 1.76480748e-02],[inf  1. inf]
24,71,[       inf 0.23477997        inf],[1.02460000e+05 0.00000000e+00 1.78839469e-02],[inf  1. inf]
25,63,[       inf 0.21553875        inf],[1.07480000e+05 0.00000000e+00 1.78828735e-02],[inf  1. inf]
26,82,[       inf 0.18332837        inf],[8.73200000e+04 0.00000000e+00 1.80023103e-02],[inf  1. inf]
27,80,[      inf 0.2330057       inf],[8.73200000e+04 0.00000000e+00 1.82525328e-02],[inf  1. inf]
28,81,[       inf 0.25144546        inf],[9.31600000e+04 0.00000000e+00 1.81642717e-02],[inf  1. inf]
29,77,[       inf 0.21095672        inf],[9.89800000e+04 0.00000000e+00 1.82525328e-02],[inf  1. inf]
30,72,[      inf 0.2028056       inf],[1.02880000e+05 0.00000000e+00 1.89574403e-02],[inf  1. inf]
31,71,[       inf 0.23843764        inf],[1.17100000e+05 0.00000000e+00 1.74139547e-02],[inf  1. inf]
32,77,[       inf 0.24518783        inf],[9.0220000e+04 0.0000000e+00 1.7186642e-02],[inf  1. inf]
