gen,nevals,avg,min,max
33,73,[       inf 0.24479955        inf],[9.0220000e+04 0.0000000e+00 1.7186642e-02],[inf  1. inf]
34,78,[       inf 0.25423384        inf],[1.2094000e+05 0.0000000e+00 1.7186642e-02],[inf  1. inf]
35,78,[       inf 0.28152049        inf],[1.15100000e+05 0.00000000e+00 1.73099091e-02],[inf  1. inf]
36,85,[       inf 0.25401945        inf],[1.17100000e+05 0.00000000e+00 1.72638031e-02],[inf  1. inf]
37,89,[       inf 0.29434796        inf],[1.32640000e+05 0.00000000e+00 1.73899412e-02],[inf  1. inf]
38,77,[       inf 0.26374535        inf],[1.32640000e+05 0.00000000e+00 1.73367736e-02],[inf  1. inf]
39,79,[       inf 0.29361917        inf],[1.32640000e+05 0.00000000e+00 1.73099091e-02],[inf  1. inf]
40,87,[       inf 0.25388403        inf],[9.56800000e+04 0.00000000e+00 1.75504466e-02],[inf  1. inf]
41,78,[       inf 0.26545433        inf],[1.20960000e+05 0.00000000e+00 1.81924859e-02],[inf  1. inf]
42,80,[       inf 0.26734669        inf],[9.99600000e+04 0.00000000e+00 1.81642717e-02],[inf  1. inf]
43,79,[       inf 0.25510577        inf],[1.2096000e+05 0.0000000e+00 1.7186642e-02],[inf  1. inf]
44,71,[       inf 0.28348123        inf],[1.18180000e+05 0.00000000e+00 1.81924859e-02],[inf  1. inf]
45,84,[       inf 0.27671577        inf],[9.9960000e+04 0.0000000e+00 1.7186642e-02],[inf  1. inf]
46,84,[       inf 0.29546458        inf],[1.20960000e+05 0.00000000e+00 1.80299749e-02],[inf  1. inf]
47,75,[       inf 0.30593891        inf],[9.56800000e+04 0.00000000e+00 1.81924859e-02],[inf  1. inf]
48,83,[       inf 0.31108746        inf],[9.99600e+04 0.00000e+00 1.72734e-02],[inf  1. inf]
49,76,[       inf 0.22572774        inf],[1.20960000e+05 0.00000000e+00 1.74247238e-02],[inf  1. inf]
50,71,[     inf 0.272556      inf],[1.25200000e+05 0.00000000e+00 1.75450919e-02],[inf  1. inf]
