id,solar_panels,wind_turbines,batteries,cost,reliability,environmental_impact
0,0,31,0,297600.0,0.9605970204654617,0.01682244777520286
1,0,8,0,76800.0,0.768732989144389,0.016822447775202868
2,6,33,0,319320.0,0.9732041728394966,0.01687205073680644
3,82,28,0,303240.0,1.0,0.01755412708764143
4,143,4,2,104300.0,1.0,0.022319049520820606
5,123,5,3,108420.0,1.0,0.02202611358795339
6,4,8,0,78480.0,0.783762609331152,0.016957418191444255
7,98,6,1,101680.0,0.997401518191642,0.020209718788991547
8,9,8,0,80580.0,0.8021899132571855,0.01711997146731743
9,0,17,0,163200.0,0.8913720495720088,0.016822447775202868
10,96,8,3,125880.0,1.0,0.02039799001721849
11,0,18,0,172800.0,0.899068546812819,0.016822447775202868
12,26,14,1,148240.0,0.9374522371636574,0.017611772479835964
13,153,6,0,121860.0,1.0,0.020587755752742017
14,21,8,0,85620.0,0.845052784115115,0.01748444359904987
15,6,9,0,88920.0,0.8099794642539866,0.01700142024112683
16,31,7,0,80220.0,0.8614992571500223,0.017880243288467948
17,0,8,0,76800.0,0.768732989144389,0.016822447775202868
18,78,6,1,93280.0,0.9808393984921431,0.01983789276498697
19,7,8,0,79740.0,0.7948740489651619,0.017055747943172456
20,144,4,1,101800.0,0.9994601726708864,0.02180881211602843
21,95,10,1,138820.0,0.9999661004419397,0.019146813072132826
22,19,8,0,84780.0,0.8379900336530346,0.01742606642350711
23,29,22,0,223380.0,0.9758758504156091,0.017168889403895153
24,90,9,2,130040.0,1.0,0.019641226770307937
25,0,16,0,153600.0,0.8825908256519848,0.016822447775202868
26,87,6,0,94140.0,0.9866025524080844,0.019496488509407117
27,42,13,0,142440.0,0.9625731124066804,0.017622218769467336
28,13,9,0,91860.0,0.8346327116840873,0.017200533850603914
29,0,33,0,316800.0,0.9660600280913572,0.016822447775202868
30,6,10,0,98520.0,0.8273294591508804,0.016983877532177574
31,33,8,0,90660.0,0.8862724099797478,0.017816578872288123
32,86,10,1,135040.0,0.9995220469797906,0.019009898604391805
33,31,31,0,310620.0,0.9903546899895599,0.017087990503244346
34,13,8,0,82260.0,0.8166177780156646,0.01724534201971424
35,0,20,0,192000.0,0.9131726528656697,0.016822447775202864
36,116,4,0,87120.0,0.9875010798139031,0.020849189880435406
37,0,13,0,124800.0,0.8502753439882519,0.016822447775202868
38,62,6,0,83640.0,0.9432920454202417,0.018926482605420934
39,24,8,0,86880.0,0.8556166758126948,0.017570335106550976
40,123,4,0,90060.0,0.9910331460501512,0.02096855215087509
41,30,26,1,265120.0,0.9893690805642759,0.01729780951038836
42,0,19,0,182400.0,0.90628657934703,0.016822447775202864
43,103,5,1,94180.0,0.9941394788058356,0.020704351822881106
44,73,12,0,145860.0,0.9957607351372417,0.018208278284717036
45,54,6,0,80280.0,0.9197250773748811,0.01871815013786265
46,2,21,0,202440.0,0.9236566090803036,0.016848505809424572
47,67,7,0,95340.0,0.9684533320318847,0.018809168221087122
48,16,22,0,217920.0,0.9554123131806112,0.01701730142497607
49,10,30,0,292200.0,0.9714725307054916,0.016912927582654676
50,134,4,1,97600.0,0.9981344145337717,0.0216836823895624
51,9,25,1,246700.0,0.9594507660230318,0.017102078134068097
52,20,13,0,133200.0,0.9097975065096889,0.017223930574914587
53,95,5,0,87900.0,0.9841194995135171,0.02000251509808022
54,0,30,0,288000.0,0.9575611555109892,0.016822447775202864
55,13,16,0,159060.0,0.9166350628510687,0.017039527559556244
56,8,20,0,195360.0,0.9309877310510606,0.01693078297286344
57,0,28,0,268800.0,0.9505583909366634,0.016822447775202868
58,34,7,0,81480.0,0.8719567225204707,0.017968217600344876
59,55,27,0,282300.0,0.9978740216379652,0.017345686563901952
60,13,21,0,207060.0,0.9460302416877338,0.016988897609926813
61,53,7,0,89460.0,0.9336083446544649,0.018478390932396827
